Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 15:24:12.184,96.62,24.5
2025-10-03 15:24:12.684,96.62,24.5
2025-10-03 15:24:13.184,98.9,24.5
2025-10-03 15:24:13.688,102.7,24.25
2025-10-03 15:24:14.185,106.5,24.5
2025-10-03 15:24:14.691,110.3,24.0
2025-10-03 15:24:15.191,113.34,24.75
2025-10-03 15:24:15.691,117.15,25.0
2025-10-03 15:24:16.194,121.71,24.5
2025-10-03 15:24:16.694,125.51,24.5
2025-10-03 15:24:17.193,130.07,24.5
2025-10-03 15:24:17.698,134.63,24.5
2025-10-03 15:24:18.198,139.19,24.5
2025-10-03 15:24:18.697,143.76,24.5
2025-10-03 15:24:19.201,149.84,24.0
2025-10-03 15:24:19.701,155.92,24.75
2025-10-03 15:24:20.201,161.24,24.5
2025-10-03 15:24:20.704,166.56,24.5
2025-10-03 15:24:21.204,173.41,24.25
2025-10-03 15:24:21.708,181.01,24.25
2025-10-03 15:24:22.208,188.61,24.25
2025-10-03 15:24:22.707,196.22,24.25
2025-10-03 15:24:23.211,204.58,24.75
2025-10-03 15:24:23.711,214.46,24.25
2025-10-03 15:24:24.211,224.35,24.75
2025-10-03 15:24:24.714,234.99,24.75
2025-10-03 15:24:25.214,246.4,24.25
2025-10-03 15:24:25.718,257.8,24.0
2025-10-03 15:24:26.218,270.72,24.5
2025-10-03 15:24:26.718,284.41,24.75
