Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 15:04:49.516,96.62,24.0
2025-10-03 15:04:50.015,96.62,24.0
2025-10-03 15:04:50.516,96.62,24.5
2025-10-03 15:04:51.019,101.94,24.25
2025-10-03 15:04:51.519,105.74,24.25
2025-10-03 15:04:52.023,109.54,24.5
2025-10-03 15:04:52.522,114.1,23.75
2025-10-03 15:04:53.022,117.91,24.25
2025-10-03 15:04:53.526,121.71,23.75
2025-10-03 15:04:54.026,126.27,24.25
2025-10-03 15:04:54.526,130.83,24.25
2025-10-03 15:04:55.025,135.39,24.5
2025-10-03 15:04:55.529,140.71,24.25
2025-10-03 15:04:56.029,146.04,24.0
2025-10-03 15:04:56.529,152.12,24.5
2025-10-03 15:04:57.033,157.44,23.75
2025-10-03 15:04:57.532,163.52,23.75
2025-10-03 15:04:58.032,171.13,24.0
2025-10-03 15:04:58.536,178.73,24.0
2025-10-03 15:04:59.035,185.57,24.5
2025-10-03 15:04:59.535,193.17,24.25
2025-10-03 15:05:00.039,202.3,24.25
2025-10-03 15:05:00.539,212.18,24.25
2025-10-03 15:05:01.039,222.07,24.0
2025-10-03 15:05:01.542,232.71,24.0
2025-10-03 15:05:02.042,244.87,24.5
2025-10-03 15:05:02.542,256.28,24.5
2025-10-03 15:05:03.042,269.2,24.25
2025-10-03 15:05:03.545,283.65,24.5
2025-10-03 15:05:04.045,299.62,24.5
