Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 14:56:15.331,96.62,25.75
2025-10-03 14:56:15.835,96.62,26.0
2025-10-03 14:56:16.334,96.62,25.5
2025-10-03 14:56:16.834,101.94,25.75
2025-10-03 14:56:17.338,106.5,25.5
2025-10-03 14:56:17.838,111.06,25.75
2025-10-03 14:56:18.337,114.1,25.75
2025-10-03 14:56:18.841,117.91,25.75
2025-10-03 14:56:19.341,122.47,25.25
2025-10-03 14:56:19.841,127.03,25.25
2025-10-03 14:56:20.344,131.59,25.5
2025-10-03 14:56:20.844,135.39,25.75
2025-10-03 14:56:21.344,141.47,25.5
2025-10-03 14:56:21.848,146.8,25.0
2025-10-03 14:56:22.348,152.88,25.5
2025-10-03 14:56:22.847,158.2,25.75
2025-10-03 14:56:23.351,164.28,25.25
2025-10-03 14:56:23.851,171.13,25.75
2025-10-03 14:56:24.351,178.73,25.25
2025-10-03 14:56:24.850,186.33,25.75
2025-10-03 14:56:25.354,194.7,25.25
2025-10-03 14:56:25.854,203.82,25.75
2025-10-03 14:56:26.354,212.94,25.0
2025-10-03 14:56:26.857,222.83,25.75
2025-10-03 14:56:27.357,234.23,25.75
2025-10-03 14:56:27.861,245.63,25.75
2025-10-03 14:56:28.360,258.56,25.25
2025-10-03 14:56:28.861,271.48,25.75
2025-10-03 14:56:29.364,285.17,25.75
2025-10-03 14:56:29.864,301.9,25.25
