Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 15:25:47.905,96.62,26.0
2025-10-03 15:25:48.404,98.9,25.0
2025-10-03 15:25:48.907,102.7,25.5
2025-10-03 15:25:49.408,106.5,25.5
2025-10-03 15:25:49.906,109.54,25.0
2025-10-03 15:25:50.411,113.34,25.25
2025-10-03 15:25:50.911,116.39,25.0
2025-10-03 15:25:51.411,120.19,25.0
2025-10-03 15:25:51.915,124.75,25.25
2025-10-03 15:25:52.414,127.79,25.25
2025-10-03 15:25:52.914,132.35,25.5
2025-10-03 15:25:53.418,137.67,25.5
2025-10-03 15:25:53.918,143.0,25.25
2025-10-03 15:25:54.417,148.32,25.75
2025-10-03 15:25:54.921,154.4,25.75
2025-10-03 15:25:55.421,158.96,25.75
2025-10-03 15:25:55.925,165.8,25.25
2025-10-03 15:25:56.423,171.89,26.0
2025-10-03 15:25:56.925,179.49,25.5
2025-10-03 15:25:57.428,187.09,26.25
2025-10-03 15:25:57.928,194.7,25.5
2025-10-03 15:25:58.428,203.82,25.75
2025-10-03 15:25:58.932,212.94,26.25
2025-10-03 15:25:59.431,222.83,26.5
2025-10-03 15:25:59.935,234.23,27.0
2025-10-03 15:26:00.435,244.87,27.0
2025-10-03 15:26:00.935,256.28,27.0
2025-10-03 15:26:01.439,269.96,27.5
2025-10-03 15:26:01.938,285.17,27.5
2025-10-03 15:26:02.438,300.38,28.0
