Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 15:00:09.879,94.34,27.0
2025-10-03 15:00:10.371,95.1,26.5
2025-10-03 15:00:10.875,95.1,27.0
2025-10-03 15:00:11.375,99.66,26.0
2025-10-03 15:00:11.875,103.46,26.25
2025-10-03 15:00:12.379,107.26,26.5
2025-10-03 15:00:12.878,111.06,26.5
2025-10-03 15:00:13.379,114.86,26.5
2025-10-03 15:00:13.882,118.67,26.5
2025-10-03 15:00:14.381,123.23,26.75
2025-10-03 15:00:14.880,127.79,26.5
2025-10-03 15:00:15.385,132.35,26.75
2025-10-03 15:00:15.885,136.91,26.75
2025-10-03 15:00:16.384,143.0,26.5
2025-10-03 15:00:16.888,148.32,26.25
2025-10-03 15:00:17.388,153.64,26.75
2025-10-03 15:00:17.888,160.48,26.0
2025-10-03 15:00:18.388,166.56,26.5
2025-10-03 15:00:18.892,173.41,26.75
2025-10-03 15:00:19.392,181.01,26.5
2025-10-03 15:00:19.891,189.37,26.75
2025-10-03 15:00:20.395,196.98,26.75
2025-10-03 15:00:20.894,206.86,26.75
2025-10-03 15:00:21.394,216.74,27.0
2025-10-03 15:00:21.898,227.39,26.75
2025-10-03 15:00:22.398,239.55,26.25
2025-10-03 15:00:22.901,250.96,27.0
2025-10-03 15:00:23.401,263.88,25.75
2025-10-03 15:00:23.901,277.57,26.75
2025-10-03 15:00:24.405,292.77,26.75
