Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 14:50:09.990,95.86,26.5
2025-10-03 14:50:10.494,95.86,26.25
2025-10-03 14:50:10.993,100.42,26.0
2025-10-03 14:50:11.498,103.46,26.75
2025-10-03 14:50:11.997,107.26,25.75
2025-10-03 14:50:12.501,111.06,26.5
2025-10-03 14:50:13.000,114.1,26.25
2025-10-03 14:50:13.500,118.67,26.25
2025-10-03 14:50:14.004,123.23,26.5
2025-10-03 14:50:14.504,127.79,26.0
2025-10-03 14:50:15.003,131.59,26.0
2025-10-03 14:50:15.507,136.91,26.5
2025-10-03 14:50:16.007,141.47,26.5
2025-10-03 14:50:16.511,148.32,26.25
2025-10-03 14:50:17.011,153.64,26.5
2025-10-03 14:50:17.510,158.96,26.5
2025-10-03 14:50:18.014,166.56,26.25
2025-10-03 14:50:18.514,173.41,26.5
2025-10-03 14:50:19.015,181.01,26.5
2025-10-03 14:50:19.517,188.61,26.5
2025-10-03 14:50:20.017,196.98,26.25
2025-10-03 14:50:20.517,206.1,26.5
2025-10-03 14:50:21.021,215.98,26.5
2025-10-03 14:50:21.520,226.63,26.25
2025-10-03 14:50:22.020,238.03,26.5
2025-10-03 14:50:22.524,250.2,26.5
2025-10-03 14:50:23.024,261.6,26.5
2025-10-03 14:50:23.523,275.29,26.5
2025-10-03 14:50:24.027,291.25,26.0
2025-10-03 14:50:24.527,305.7,26.0
