Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 14:46:44.020,96.62,26.0
2025-10-03 14:46:44.524,96.62,26.0
2025-10-03 14:46:45.021,98.14,25.5
2025-10-03 14:46:45.523,103.46,25.75
2025-10-03 14:46:46.027,107.26,25.75
2025-10-03 14:46:46.526,110.3,25.75
2025-10-03 14:46:47.030,114.1,25.75
2025-10-03 14:46:47.530,118.67,25.75
2025-10-03 14:46:48.030,123.23,25.5
2025-10-03 14:46:48.534,127.03,25.75
2025-10-03 14:46:49.034,131.59,25.75
2025-10-03 14:46:49.533,136.15,26.0
2025-10-03 14:46:50.037,141.47,25.75
2025-10-03 14:46:50.537,146.8,25.5
2025-10-03 14:46:51.037,152.88,26.25
2025-10-03 14:46:51.536,158.2,25.75
2025-10-03 14:46:52.040,164.28,25.75
2025-10-03 14:46:52.540,171.89,26.25
2025-10-03 14:46:53.040,178.73,26.0
2025-10-03 14:46:53.543,187.09,26.0
