Timestamp,Presion (kPa),Temperatura (C),Tipo
,,,extension
Timestamp,Presion (kPa),Temperatura (C)
2025-10-03 14:41:23.786,96.62,23.5
2025-10-03 14:41:24.286,99.66,24.0
2025-10-03 14:41:24.790,104.22,23.75
2025-10-03 14:41:25.289,107.26,24.25
2025-10-03 14:41:25.789,111.06,24.0
2025-10-03 14:41:26.293,114.86,24.0
2025-10-03 14:41:26.793,117.91,23.75
2025-10-03 14:41:27.292,121.71,24.0
2025-10-03 14:41:27.792,125.51,23.25
2025-10-03 14:41:28.296,130.07,23.5
2025-10-03 14:41:28.796,134.63,23.75
2025-10-03 14:41:29.295,139.19,23.75
2025-10-03 14:41:29.799,145.28,23.75
2025-10-03 14:41:30.299,149.84,23.75
2025-10-03 14:41:30.799,155.92,24.25
2025-10-03 14:41:31.302,161.24,24.25
2025-10-03 14:41:31.802,167.32,23.25
2025-10-03 14:41:32.306,173.41,24.0
2025-10-03 14:41:32.806,180.25,24.25
2025-10-03 14:41:33.306,187.85,24.25
